z,n,name,levelEnergy(MeV),halflife,decayModes
0,1,Neutron,0.0,613.9 s 6,B- = 100.00,
1,0,1H,0.0,STABLE,
1,1,2H,0.0,STABLE,
1,2,3H,0.0,12.32 y 2,B- = 100.00,
1,3,4H,0.0,,N = 100.00,
1,4,5H,0.0,5.7 mev 21,2N = 100.00,
1,5,6H,0.0,1.6 mev 4,N = 100.00,
1,6,7H,,0.09 mev ,4N  ,
2,1,3He,0.0,STABLE,
2,2,4He,0.0,STABLE,
2,3,5He,0.0,0.60 mev 2,A = 100.00,
2,3,5He,0.0,0.60 mev 2,N = 100.00,
2,4,6He,0.0,806.7 ms 15,B- = 100.00,
2,5,7He,0.0,150 kev 20,N  ,
2,6,8He,0.0,119.1 ms 12,B- = 100.,
2,6,8He,0.0,119.1 ms 12,BN = 16.,
2,7,9He,0.0,,N = 100.00,
2,8,10He,0.0,300 kev 200,N = 100.00,
3,0,3Li,,,P ? ,
3,1,4Li,0.0,6.03 mev ,P = 100.00,
3,2,5Li,0.0,AP 1.5 mev ,P = 100.00,
3,2,5Li,0.0,AP 1.5 mev ,A = 100.00,
3,3,6Li,0.0,STABLE,
3,4,7Li,0.0,STABLE,
3,5,8Li,0.0,839.9 ms 9,B- = 100.00,
3,5,8Li,0.0,839.9 ms 9,BA = 100.00,
3,6,9Li,0.0,178.3 ms 4,B- = 100.00,
3,6,9Li,0.0,178.3 ms 4,BN ? 50.00,
3,7,10Li,0.0,,N = 100.00,
3,8,11Li,0.0,8.75 ms 14,B- = 100.00,
3,8,11Li,0.0,8.75 ms 14,BN = 86.60,
3,8,11Li,0.0,8.75 ms 14,B2N = 4.20,
3,8,11Li,0.0,8.75 ms 14,B3N = 1.90,
3,8,11Li,0.0,8.75 ms 14,BNA = 0.03,
3,9,12Li,,LT 10 ns ,N ? ,
3,10,13Li,,,
4,1,5Be,,,P  ,
4,2,6Be,0.0,92 kev 6,P = 100.00,
4,2,6Be,0.0,92 kev 6,A = 100.00,
4,3,7Be,0.0,53.22 d 6,EC = 100.00,
4,4,8Be,0.0,5.57 ev 25,A = 100.00,
4,5,9Be,0.0,STABLE,
4,6,10Be,0.0,1.51E+6 y 4,B- = 100.00,
4,7,11Be,0.0,13.76 s 7,B- = 100.00,
4,7,11Be,0.0,13.76 s 7,BA = 3.10,
4,7,11Be,0.0,13.76 s 7,BN ? ,
4,8,12Be,0.0,21.47 ms 4,B- = 100.00,
4,8,12Be,0.0,21.47 ms 4,BN = 0.50,
4,9,13Be,0.0,2.7E-21 s 18,N  ,
4,11,15Be,,0.58 mev 20,2N = 100.00,
4,12,16Be,,0.8 mev 2,N = 100.00,
4,10,14Be,0.0,4.35 ms 17,B- = 100.00,
4,10,14Be,0.0,4.35 ms 17,BN = 86.00,
4,10,14Be,0.0,4.35 ms 17,B2N = 5.00,
4,10,14Be,0.0,4.35 ms 17,B3N ? 0.00,
4,10,14Be,0.0,4.35 ms 17,BA ? ,
5,12,17B,0.0,5.08 ms 5,B- = 100.00,
5,12,17B,0.0,5.08 ms 5,BN = 63.00,
5,12,17B,0.0,5.08 ms 5,B2N = 12.00,
5,12,17B,0.0,5.08 ms 5,B3N = 3.50,
5,12,17B,0.0,5.08 ms 5,B4N = 0.40,
5,13,18B,0.0,LT 26 ns ,N ? ,
5,14,19B,0.0,2.92 ms 13,B- = 100.00,
5,14,19B,0.0,2.92 ms 13,BN = 71.80,
5,14,19B,0.0,2.92 ms 13,B2N = 16.00,
5,14,19B,0.0,2.92 ms 13,B3N LT 9.10,
5,15,20B,,,
5,16,21B,,,
5,10,15B,0.0,10.18 ms 3,B- = 100.00,
5,10,15B,0.0,10.18 ms 3,BN = 99.60,
5,10,15B,0.0,10.18 ms 3,B2N LT 1.50,
5,11,16B,0.0,LT 190 ps ,N  ,
5,1,6B,,,2P ? ,
5,2,7B,0.0,1.4 mev 2,A  ,
5,2,7B,0.0,1.4 mev 2,P  ,
5,3,8B,0.0,770 ms 3,EC = 100.00,
5,3,8B,0.0,770 ms 3,EA = 100.00,
5,4,9B,0.0,0.54 kev 21,P = 100.00,
5,4,9B,0.0,0.54 kev 21,2A = 100.00,
5,5,10B,0.0,STABLE,
5,6,11B,0.0,STABLE,
5,7,12B,0.0,20.20 ms 2,B- = 100.00,
5,7,12B,0.0,20.20 ms 2,B3A = 1.58,
5,8,13B,0.0,17.33 ms 17,B- = 100.00,
5,8,13B,0.0,17.33 ms 17,BN = 0.26,
5,9,14B,0.0,12.36 ms 29,B- = 100.00,
5,9,14B,0.0,12.36 ms 29,BN = 6.04,
6,2,8C,0.0,230 kev 50,P = 100.00,
6,2,8C,0.0,230 kev 50,A  ,
6,3,9C,0.0,126.5 ms 9,EC = 100.00,
6,3,9C,0.0,126.5 ms 9,EP = 61.60,
6,3,9C,0.0,126.5 ms 9,EA = 38.40,
6,4,10C,0.0,19.308 s 4,EC = 100.00,
6,5,11C,0.0,20.364 m 14,EC = 100.00,
6,6,12C,0.0,STABLE,
6,7,13C,0.0,STABLE,
6,8,14C,0.0,5700 y 30,B- = 100.00,
6,9,15C,0.0,2.449 s 5,B- = 100.00,
6,14,20C,0.0,16.2 ms 35,B- = 100.00,
6,14,20C,0.0,16.2 ms 35,BN = 66.00,
6,14,20C,0.0,16.2 ms 35,B2N LT 18.60,
6,14,20C,0.0,16.2 ms 35,B3N = ?,
6,13,19C,0.0,46.2 ms 40,B- = 100.00,
6,13,19C,0.0,46.2 ms 40,BN = 47.00,
6,13,19C,0.0,46.2 ms 40,B2N = 7.00,
6,13,19C,0.0,46.2 ms 40,B3N ? ,
6,16,22C,0.0,6.1 ms +14-12,B- = 100.00,
6,16,22C,0.0,6.1 ms +14-12,BN = 61.00,
6,16,22C,0.0,6.1 ms +14-12,B2N LT 37.00,
6,16,22C,0.0,6.1 ms +14-12,B3N ? ,
6,15,21C,0.0,LT 30 ns ,N ? ,
6,17,23C,,,
6,10,16C,0.0,0.747 s 8,B- = 100.00,
6,10,16C,0.0,0.747 s 8,BN = 99.20,
6,12,18C,0.0,92 ms 2,B- = 100.00,
6,12,18C,0.0,92 ms 2,BN = 22.00,
6,12,18C,0.0,92 ms 2,B2N ? ,
6,12,18C,0.0,92 ms 2,B3N ? ,
6,11,17C,0.0,191 ms 6,B- = 100.00,
6,11,17C,0.0,191 ms 6,BN = 28.40,
6,11,17C,0.0,191 ms 6,B2N ? ,
7,15,22N,0.0,19.5 ms 20,B- = 100.00,
7,15,22N,0.0,19.5 ms 20,BN = 34.00,
7,15,22N,0.0,19.5 ms 20,B2N = 12.00,
7,15,22N,0.0,19.5 ms 20,B3N ? ,
